transaction_id,price,transfer_date,sale_year,sale_month,postcode,postcode_norm,property_type,old_new,duration,paon,saon,street,locality,town_city,district,county,ppd_category_type,record_status,ladcd,lat_postcode,lon_postcode,uprn,lat_rooftop,lon_rooftop,os_match_score,os_match_type,epc_current_rating,epc_current_score,epc_potential_rating,epc_potential_score,epc_floor_area_m2,build_bucket,build_bucket_confidence,build_bucket_source,uprn_addr,uprn_reshare,uprn_final,epc_match_method,uprn_lat,uprn_lon,uprn_n,epc_floor_area_m2_from_epc,epc_lodgement_date_from_epc
{EED73E75-8B15-6AF3-E053-6C04A8C08ABA},330000,2022-10-26,2022,10,M33 7AX,M337AX,T,N,F,6,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430172,-2.315855,,,,,,,,,,,,,,100011700979,100011700979,100011700979,exact_street,53.4306395,-2.3157378,100011700979,72.0,2022-05-11
{EA3278AA-2797-2676-E053-6B04A8C015F8},321500,2022-08-19,2022,8,M33 7AX,M337AX,T,N,F,12,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430172,-2.315855,,,,,,,,,,,,,,100011700985,100011700985,100011700985,exact_street,53.4305226,-2.3157671,100011700985,72.0,2022-04-26
{EA3278A9-E3EE-2676-E053-6B04A8C015F8},325000,2022-08-22,2022,8,M33 7AX,M337AX,T,N,F,22,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430172,-2.315855,,,,,,,,,,,,,,100011700995,100011700995,100011700995,exact_street,53.4303336,-2.3158409,100011700995,87.0,2022-04-13
{2ACACE8D-02D0-295E-E063-4804A8C0B0EB},380000,2024-08-01,2024,8,M33 7AT,M337AT,S,N,F,45,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430404,-2.316278,,,,,,,,,,,,,,100011701774,,100011701774,exact_street,53.4298375,-2.3164995,100011701774,83.0,2023-11-17
{2859C1AC-2607-52B4-E063-4804A8C05948},350000,2024-07-26,2024,7,M33 7AX,M337AX,T,N,F,26,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430172,-2.315855,,,,,,,,,,,,,,100011700999,,100011700999,exact_street,53.4302168,-2.3158401,100011700999,71.0,2024-01-25
{2131FCF5-FFDC-86E8-E063-4804A8C0372B},323850,2024-03-15,2024,3,M33 7JP,M337JP,S,N,F,2,,DENMARK ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430663,-2.320449,,,,,,,,,,,,,,100011686507,100011686507,100011686507,exact_street,53.4308167,-2.3200435,100011686507,76.0,2023-10-26
{CB0035E5-C3EC-58AE-E053-6B04A8C091AF},305000,2021-03-11,2021,3,M33 7BG,M337BG,T,N,F,21,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693927,100011693927,100011693927,exact_street,53.4320216,-2.3165307,100011693927,89.0,2020-11-18
{2D4D7608-EFD3-BDF9-E063-4804A8C0672F},325000,2024-01-19,2024,1,M33 7LA,M337LA,T,N,F,8,,FLORENCE STREET,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431573,-2.319598,,,,,,,,,,,,,,100011688379,,100011688379,exact_street,53.4316176,-2.3197184,100011688379,78.0,2024-06-27
{E2D14905-6C16-4C2D-E053-6B04A8C0422B},337000,2022-05-31,2022,5,M33 7AX,M337AX,T,N,F,30,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430172,-2.315855,,,,,,,,,,,,,,100011701003,100011701003,100011701003,exact_street,53.4301448,-2.3158696,100011701003,69.0,2022-02-27
{CB0035E5-C7F4-58AE-E053-6B04A8C091AF},317500,2021-04-06,2021,4,M33 7AU,M337AU,S,N,F,47,,WOLSELEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430050,-2.317630,,,,,,,,,,,,,,100011701775,100011701775,100011701775,exact_street,53.4297023,-2.3166339,100011701775,103.0,2020-09-30
{34222872-44D6-4D2B-E063-4704A8C07853},370000,2024-02-29,2024,2,M33 7FW,M337FW,S,N,F,30,,DARGLE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.429743,-2.318275,,,,,,,,,,,,,,100011686380,,100011686380,exact_street,53.4295108,-2.3176559,100011686380,91.0,2023-01-09
{2F7F2B43-3034-E08F-E063-4804A8C05A49},290000,2025-01-31,2025,1,M33 7JY,M337JY,T,N,F,16,,ELM GROVE,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.432067,-2.319602,,,,,,,,,,,,,,100011687296,,100011687296,exact_street,53.4319603,-2.3192845,100011687296,76.0,2021-04-14
{CD5A9DCC-125C-310A-E053-6C04A8C00A1F},258000,2021-08-02,2021,8,M33 7JY,M337JY,T,N,F,16,,ELM GROVE,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.432067,-2.319602,,,,,,,,,,,,,,100011687296,100011687296,100011687296,exact_street,53.4319603,-2.3192845,100011687296,76.0,2021-04-14
{25E9DA80-C452-555E-E063-4704A8C066F2},326000,2024-01-12,2024,1,M33 7AX,M337AX,T,N,F,38,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430172,-2.315855,,,,,,,,,,,,,,100011701011,100011701011,100011701011,exact_street,53.4299739,-2.3159135,100011701011,69.0,2022-10-05
{EC7AD099-A39C-9200-E053-6C04A8C0E306},412000,2022-09-01,2022,9,M33 7FN,M337FN,S,N,F,37,,DARGLE ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.429950,-2.318066,,,,,,,,,,,,,,100011686388,100011686388,100011686388,exact_street,53.4295308,-2.3169035,100011686388,91.0,2022-03-29
{FFA361DA-F7D1-8A03-E053-4804A8C01F61},250000,2023-05-17,2023,5,M33 7EY,M337EY,T,N,F,13,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011700986,,100011700986,exact_street,53.4304336,-2.3154052,100011700986,77.0,2025-07-27
{2859C1AB-DCC9-52B4-E063-4804A8C05948},290000,2024-07-16,2024,7,M33 7JY,M337JY,T,N,F,22,,ELM GROVE,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.432067,-2.319602,,,,,,,,,,,,,,100011687302,,100011687302,exact_street,53.4320318,-2.3194657,100011687302,98.0,2024-01-10
{D22473F5-46A4-7B40-E053-6C04A8C0A630},362000,2021-06-28,2021,6,M33 7BG,M337BG,T,N,F,28,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693934,100011693934,100011693934,exact_street,53.4320318,-2.3160943,100011693934,110.0,2021-04-08
{1EAE3DF6-792B-9EB1-E063-4704A8C09D02},333500,2024-06-06,2024,6,M33 7EY,M337EY,T,N,F,23,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011700996,100011700996,100011700996,exact_street,53.4302267,-2.3154789,100011700996,71.0,2023-07-17
{C6209F5F-36E0-295E-E053-6C04A8C0DDCC},275000,2021-05-21,2021,5,M33 7EY,M337EY,T,N,F,25,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011700998,100011700998,100011700998,exact_street,53.4301908,-2.3154787,100011700998,75.0,2021-03-04
{3DCCB7CA-2114-5B9D-E063-4704A8C0331E},333000,2025-07-25,2025,7,M33 7EY,M337EY,T,N,F,29,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011701002,,100011701002,exact_street,53.4301008,-2.3155081,100011701002,72.0,2024-08-11
{DE2D0CDF-A598-51EE-E053-6C04A8C00671},280000,2021-05-24,2021,5,M33 7EY,M337EY,T,N,F,27,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011701000,100011701000,100011701000,exact_street,53.4301369,-2.3154482,100011701000,82.0,2021-01-25
{01EB45EF-B778-40F3-E063-4704A8C05FDE},275000,2023-06-15,2023,6,M33 7BX,M337BX,T,N,F,7,,LINTON ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431907,-2.315582,,,,,,,,,,,,,,100011692695,100011692695,100011692695,exact_street,53.4319071,-2.3156569,100011692695,85.0,2023-01-25
{25E9DA80-C6C7-555E-E063-4704A8C066F2},385500,2024-09-20,2024,9,M33 7BG,M337BG,T,N,F,34,,MEADOWS ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.431887,-2.316545,,,,,,,,,,,,,,100011693940,100011693940,100011693940,exact_street,53.4321667,-2.3160802,100011693940,83.0,2024-03-17
{2ACACE8C-D009-295E-E063-4804A8C0B0EB},316000,2024-07-04,2024,7,M33 7EY,M337EY,T,N,F,39,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011701012,,100011701012,exact_street,53.4298939,-2.3155517,100011701012,71.0,2023-12-21
{DBA933F9-A86E-669D-E053-6B04A8C0AD56},365000,2021-06-28,2021,6,M33 6LD,M336LD,T,N,F,1,,GORDON AVENUE,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430841,-2.320887,,,,,,,,,,,,,,10070463417,10070463417,10070463417,exact_street,53.4311236,-2.3205523,10070463417,90.0,2021-04-08
{E2D14905-6BD5-4C2D-E053-6B04A8C0422B},325000,2022-04-08,2022,4,M33 7EY,M337EY,T,N,F,41,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011701014,100011701014,100011701014,exact_street,53.429858,-2.3155515,100011701014,59.0,2022-01-25
{C6209F5F-3AB1-295E-E053-6C04A8C0DDCC},295000,2021-01-27,2021,1,M33 7EY,M337EY,S,N,F,43,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011701016,100011701016,100011701016,exact_street,53.429777,-2.315596,100011701016,65.0,2020-10-07
{DBA933F9-A850-669D-E053-6B04A8C0AD56},365000,2021-05-10,2021,5,M33 6LD,M336LD,T,N,F,5,,GORDON AVENUE,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430841,-2.320887,,,,,,,,,,,,,,10070463419,10070463419,10070463419,exact_street,53.4310001,-2.3206838,10070463419,95.0,2021-04-08
{44F406B6-66BA-1095-E063-4704A8C048D4},351000,2024-12-16,2024,12,M33 7EY,M337EY,S,N,L,47,,WAVERLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430101,-2.315508,,,,,,,,,,,,,,100011701020,,100011701020,exact_street,53.4296599,-2.3156854,100011701020,83.0,2024-06-17
{3DCCB7C9-E610-5B9D-E063-4704A8C0331E},320000,2025-07-25,2025,7,M33 7BB,M337BB,T,N,F,14,,DUDLEY ROAD,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.430201,-2.314997,,,,,,,,,,,,,,100011686920,,100011686920,exact_street,53.4304348,-2.3149537,100011686920,64.0,2025-01-15
{2131FCF5-FEF0-86E8-E063-4804A8C0372B},315000,2023-09-22,2023,9,M33 7JY,M337JY,T,N,F,34,,ELM GROVE,,SALE,TRAFFORD,GREATER MANCHESTER,A,A,E08000009,53.432067,-2.319602,,,,,,,,,,,,,,100011687314,100011687314,100011687314,exact_street,53.4321655,-2.319858,100011687314,79.0,2023-08-13
